Timestamp,CPU_Usage,RAM_Usage,Disk_Usage,GPU_Usage
2025-12-26,16:59:12,9,48,"14.3 Kbps","11.7 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:59:15,10,48,"18.9 Kbps","12.7 Kbps","4.5 KB/s","3.5 MB/s"
2025-12-26,16:59:17,12,48,"9.5 Kbps","2.5 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:59:20,13,48,"0.6 Kbps","1.2 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:59:21,11,48,"0.3 Kbps","0.7 Kbps","0 KB/s","118.6 KB/s"
2025-12-26,16:59:24,11,48,"0.0 Kbps","0.1 Kbps","0 KB/s","55.8 KB/s"
2025-12-26,16:59:26,11,48,"2.8 Kbps","1.8 Kbps","0 KB/s","115.6 KB/s"
2025-12-26,16:59:29,15,48,"3.6 Kbps","2.8 Kbps","0 KB/s","27.9 KB/s"
2025-12-26,16:59:30,18,48,"7.8 Kbps","2.3 Kbps","4.5 KB/s","3.5 MB/s"
2025-12-26,16:59:33,16,48,"57.0 Kbps","21.6 Kbps","0 KB/s","147.1 KB/s"
2025-12-26,16:59:35,14,48,"80.5 Kbps","33.6 Kbps","4.5 KB/s","3.2 MB/s"
2025-12-26,16:59:38,13,48,"49.3 Kbps","31.4 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:59:39,17,48,"19.9 Kbps","19.5 Kbps","0 KB/s","219.0 KB/s"
2025-12-26,16:59:43,21,48,"10.1 Kbps","1.7 Kbps","0 KB/s","3.1 MB/s"
2025-12-26,16:59:44,23,49,"20.9 Kbps","9.4 Kbps","32.0 KB/s","623.3 KB/s"
2025-12-26,16:59:47,20,49,"20.7 Kbps","10.1 Kbps","0 KB/s","3.4 MB/s"
2025-12-26,16:59:49,16,49,"9.5 Kbps","1.6 Kbps","0 KB/s","99.0 KB/s"
2025-12-26,16:59:52,18,49,"9.3 Kbps","0.7 Kbps","0 KB/s","51.6 KB/s"
2025-12-26,16:59:53,22,48,"9.2 Kbps","0.6 Kbps","0 KB/s","31.9 KB/s"
